,alpha,beta,Pmax_µmol_L_min,R_µmol_L_min,frag,timepoint
X2,0.009612477,0.000287257,3.953371137,-1.411727663,2,June
X6,0.006274502,0.000662266,2.063177507,-0.380357204,6,June
X10,0.002589789,0.000854694,1.42965953,-0.227186955,10,June
X14,0.005062952,0.00063229,2.005731984,-0.589119657,14,June
X18,0.004176391,0.000533872,2.046164511,-0.528184004,18,June
X22,0.005465957,0.000517794,2.216201013,-0.631104597,22,June
X26,0.007275928,0.000227207,3.786540761,-0.892719853,26,June
X30,0.005908233,0.000301651,2.920505883,-0.760948341,30,June
X34,0.012654851,0.000200228,4.914179775,-1.198820869,34,June
X51,0.006845062,0.000229649,3.54578379,-1.068355836,51,June
X54,0.00784743,0.000475974,2.780821123,-0.919255414,54,June
X58,0.004730608,0.000274449,2.82129793,-0.723747885,58,June
X62,0.004130301,0.000947921,1.524475582,-0.426999325,62,June
X66,0.007013049,0.000275774,3.383735757,-1.094248331,66,June
X70,0.005122008,0.000601185,2.193157499,-0.465739303,70,June
X74,0.005907167,0.000690926,2.394479215,-0.435895215,74,June
X78,0.012047871,0.000222118,4.884989569,-1.235987785,78,June
X83,0.018398746,0.000216583,6.384861461,-1.509378172,83,June
X86,0.009034403,0.002437537,2.546248012,-0.377645306,86,June
X90,0.010211237,0.00021853,4.485487378,-1.093522937,90,June
X94,0.015873392,0.000191209,6.280082886,-1.307545447,94,June
X97,0.009799805,0.000585455,3.182605508,-0.650867378,97,June
X98,0.010841414,0.000381152,3.864368471,-0.734539403,98,June
X102,0.009118899,0.000195119,4.469361464,-0.77025559,102,June
X118,0.006194546,0.000285452,3.072940336,-0.748711433,118,June
X122,0.008593611,0.000635454,2.579782491,-0.53532893,122,June
X126,0.009192693,0.000858608,2.241657632,-0.332969728,126,June
X130,0.009118234,0.000268583,3.729302068,-0.746216724,130,June
X134,0.013044942,0.000482296,3.939541954,-1.049493068,134,June
X4,0.010192404,0.001165818,2.896023715,-0.766711807,4,July
X8,0.01019629,0.000145704,5.389091644,-1.144432908,8,July
X11,0.001724014,0.000754931,1.449631314,-0.66623736,11,July
X15,0.010121738,0.000375986,3.459095402,-0.949723919,15,July
X19,0.004256054,0.001226932,1.256602364,-0.17519955,19,July
X24,2.91E-02,7.91E-05,1.23E+01,-3.30E+00,24,July
X27,0.008016342,0.000952833,2.162047465,-0.42037413,27,July
X29,0.010156344,0.000451231,3.645879447,-1.006641521,29,July
X31,0.010074791,0.000324021,3.530323227,-1.007702605,31,July
X32,0.00682086,0.000627437,2.267554315,-0.583577686,32,July
X35,0.00792538,0.000284438,3.504306064,-0.857821287,35,July
X52,0.009203853,0.000232971,4.08875374,-1.513789514,52,July
X56,0.00814458,0.000431055,2.76184451,-0.639698365,56,July
X59,0.004613317,0.000286433,2.873323572,-0.425893391,59,July
X64,0.023767943,0.000200205,7.346875068,-2.2056608,64,July
X68,0.012989191,0.000197791,5.388312144,-1.788792969,68,July
X71,0.012831011,0.000231634,4.554978271,-0.988998058,71,July
X75,0.011897973,0.000599438,3.493796005,-0.81683139,75,July
X80,0.003943255,0.000524135,1.948934605,-0.391052946,80,July
X82,0.005869246,0.000631983,2.511530726,-0.376468343,82,July
X87,2.30E-02,9.40E-05,9.70E+00,2.29E-02,87,July
X91,0.008895607,0.00044712,3.388504127,-1.121616521,91,July
X95,0.015863885,0.000174385,6.136612825,1.469062371,95,July
X99,0.012459691,0.001629956,3.588168251,-0.832291615,99,July
X100,0.010403267,0.000448787,3.075661733,-0.79280538,100,July
X104,0.013950017,0.001338951,3.901215525,-0.954916026,104,July
X119,0.006346927,0.000267879,3.176054491,-0.794628912,119,July
X124,0.014510551,0.001647633,3.978285208,-0.908332439,124,July
X128,0.015394331,0.000221513,4.973777625,-1.397575246,128,July
X132,0.00494332,0.000473112,2.114599077,-0.49848447,132,July
X135,0.010971852,0.000903626,3.428273131,-1.040289919,135,July
