frag,parent_colony,day,treatment,symbiont,bleach_hist,FvFm,pair_location,initial_tank,hist_symb,avg_red_intensity,spawn
1,11,6/27/19,31¡,C,B,0.686,b,10,B C,1.041002339,
3,11,7/8/19,31¡,C,B,0.653,b,12,B C,0.9354909,
3,11,7/21/19,31¡,C,B,0.658,b,12,B C,0.974178867,
3,11,6/27/19,31¡,C,B,0.692,b,12,B C,0.993680894,
4,11,6/27/19,31¡,C,B,0.686,b,12,B C,1.022430258,
4,11,7/21/19,31¡,C,B,0.612,b,12,B C,0.906651977,
7,19,7/8/19,31¡,C,B,0.678,c,12,B C,1.052795548,
7,19,6/27/19,31¡,C,B,0.701,c,12,B C,1.21963207,
7,19,7/21/19,31¡,C,B,0.663,c,12,B C,0.995436873,
8,19,7/8/19,31¡,C,B,0.742,c,14,B C,1.106189858,
8,19,6/27/19,31¡,C,B,0.688,c,14,B C,1.244885486,
8,19,7/21/19,31¡,C,B,0.692,c,14,B C,1.041671614,
9,201,6/27/19,31¡,C,B,0.517,d,10,B C,0.968183906,
11,201,6/27/19,31¡,C,B,0.708,d,10,B C,0.990384734,
11,201,7/21/19,31¡,C,B,0.491,d,10,B C,0.799017139,
11,201,7/8/19,31¡,C,B,0.587,d,10,B C,0.781319944,
12,201,7/8/19,31¡,C,B,0.676,d,12,B C,0.886774449,
12,201,7/21/19,31¡,C,B,0.574,d,12,B C,0.878613705,
12,201,6/27/19,31¡,C,B,0.599,d,12,B C,0.994935222,
13,203,6/27/19,31¡,C,B,0.614,e,10,B C,1.056173499,
15,203,7/8/19,31¡,C,B,0.681,e,14,B C,0.813283787,
15,203,7/21/19,31¡,C,B,0.636,e,14,B C,0.895263856,
15,203,6/27/19,31¡,C,B,0.643,e,14,B C,0.958111959,
16,203,7/21/19,31¡,C,B,0.644,e,10,B C,0.941948946,
16,203,7/8/19,31¡,C,B,0.681,e,10,B C,0.879542708,
16,203,6/27/19,31¡,C,B,0.688,e,10,B C,0.999446529,
17,211,6/27/19,31¡,C,B,0.2145,i,14,B C,0.83465239,
19,211,6/27/19,31¡,C,B,0.668,i,10,B C,0.983007836,
19,211,7/8/19,31¡,C,B,0.693,i,10,B C,0.90020806,
19,211,7/21/19,31¡,C,B,0.502,i,10,B C,0.858202933,
20,211,7/8/19,31¡,C,B,0.2,i,14,B C,0.772975352,
20,211,6/27/19,31¡,C,B,0.66,i,14,B C,1.041904963,
20,211,7/21/19,31¡,C,B,0,i,14,B C,0.780652502,
49,12,6/27/19,31¡,D,NB,0.613,b,14,NB D,0.986860098,
50,12,7/21/19,31¡,D,NB,0.642,b,12,NB D,0.92309823,
50,12,6/27/19,31¡,D,NB,0.682,b,12,NB D,1.100932292,
50,12,7/8/19,31¡,D,NB,0.718,b,12,NB D,0.965342857,
52,12,6/27/19,31¡,D,NB,0.638,b,12,NB D,1.028364124,
52,12,7/21/19,31¡,D,NB,NA,b,12,NB D,0.979510821,
52,12,7/8/19,31¡,D,NB,0.676,b,12,NB D,0.926629229,
53,20,6/27/19,31¡,D,NB,0.645,c,12,NB D,1.009084141,
55,20,6/27/19,31¡,D,NB,0.581,c,14,NB D,1.014776173,
55,20,7/21/19,31¡,D,NB,0.634,c,14,NB D,0.854947574,
55,20,7/8/19,31¡,D,NB,0.693,c,14,NB D,0.840731296,
56,20,7/21/19,31¡,D,NB,0.673,c,14,NB D,0.907087388,
56,20,7/8/19,31¡,D,NB,0.672,c,14,NB D,0.868692428,
56,20,6/27/19,31¡,D,NB,0.662,c,14,NB D,1.034581452,
57,202,6/27/19,31¡,D,NB,NA,d,14,NB D,1.130062562,
59,202,6/27/19,31¡,D,NB,0.646,d,14,NB D,1.022698844,
59,202,7/21/19,31¡,D,NB,0.688,d,14,NB D,0.957697821,
60,202,7/21/19,31¡,D,NB,0.647,d,14,NB D,0.969450961,
