airbrush.date,date.airbrushed,colony,location,temp,history,symb,hist_symb,timepoint,prot_cm2,symb_cm2,symb_ugprot,totalchl_cm2,totalchl_symb,symb_pHi_basal,symb_13C,host_13C,NP_cm2,GP_cm2,R_cm2,alpha,calcif.pg.d.cm^2,GP_persymb,host13C_persymb,GP_ugprot,NP_ugprot,NP_persymb,treatment,P.R,lipids.mg.cm2,eDHW,symb_nprot,delta13C,symb_13C_APE,host_13C_APE
"Friday, February 21, 2020",c,11,b,31¡,B,C,BC,Acute stress,354.5028046,629792.4514,1776.551393,9.605825672,1.53E-05,NA,1.11315,1.09973,0.09186352,0.124688683,0.032825163,0.000223519,0.003082079,1.98E-07,1.75E-06,0.000351728,0.000259133,1.46E-07,Acute 31¡,3.798570109,0.088198282,5.452579365,1.776551393,0.01342,0.024443,0.010947
"Thursday, February 27, 2020",d,12,b,31¡,NB,D,NBD,Acute stress,435.933367,1924435.3,4414.517092,11.04698985,5.74E-06,NA,1.11191,1.09847,0.091318523,0.118893616,0.027575093,0.000176817,0.004306625,6.18E-08,5.71E-07,0.000272733,0.000209478,4.75E-08,Acute 31¡,4.311630644,0.541530402,5.452579365,4.414517092,0.01344,0.023203,0.009687
"Wednesday, December 1, 2021",k,19,c,31¡,B,C,BC,Acute stress,405.6650365,2480077.235,6113.608549,13.35781782,6.54E-06,NA,1.127679908,1.101411268,0.070881817,0.083979617,0.0130978,0.000215956,0.002691171,4.39E-08,NA,0.000207017,0.00017473,3.71E-08,Acute 31¡,6.411734566,1.162311922,5.452579365,6.113608549,0.02626864,0.038972908,0.012628268
"Friday, February 21, 2020",c,20,c,31¡,NB,D,NBD,Acute stress,287.4313138,1008285.371,3507.917622,6.703638652,6.65E-06,NA,1.11432,1.09146,0.052935228,0.07039785,0.017462622,0.00014911,0.003283837,6.98E-08,1.08E-06,0.000244921,0.000184167,5.25E-08,Acute 31¡,4.031344777,0.459593091,5.452579365,3.507917622,0.02286,0.025613,0.002677
"Thursday, February 6, 2020",a,202,d,31¡,NB,D,NBD,Acute stress,327.9633356,1222507.28,3727.573017,4.558893013,3.73E-06,NA,1.11711,1.09241,0.112739025,0.141665852,0.028926826,0.00018909,0.002626399,1.16E-07,8.94E-07,0.000431956,0.000343755,9.22E-08,Acute 31¡,4.897386668,0.107903575,5.452579365,3.727573017,0.0247,0.028403,0.003627
"Thursday, February 6, 2020",a,203,e,31¡,B,C,BC,Acute stress,389.4139398,1902692.846,4886.04195,5.631777177,2.96E-06,NA,1.13945,1.09486,0.091490881,0.118333064,0.026842183,0.000231027,0.002991886,6.22E-08,5.75E-07,0.000303875,0.000234945,4.81E-08,Acute 31¡,4.408473931,0.083623441,5.452579365,4.88604195,0.04459,0.050743,0.006077
"Wednesday, December 1, 2021",k,211,i,31¡,B,C,BC,Acute stress,620.1064015,2485761.068,4008.604108,12.84443,6.32E-06,NA,1.120879061,1.097405346,0.10252418,0.128890977,0.026366797,0.000208343,0.004055189,6.34E-08,NA,0.000207853,0.000165333,5.05E-08,Acute 31¡,4.888382044,1.302259295,5.452579365,4.008604108,0.023473715,0.032172061,0.008622346
"Thursday, February 20, 2020",b,214,j,31¡,NB,D,NBD,Acute stress,509.6491898,2145172.147,4209.115192,6.622209662,3.09E-06,NA,1.097975,1.09176,0.098999744,0.126334702,0.027334958,0.000264705,0.00272788,5.89E-08,5.09E-07,0.000247886,0.000194251,4.62E-08,Acute 31¡,4.621726582,1.177554474,5.452579365,4.209115192,0.006215,0.009268,0.002977
"Thursday, February 20, 2020",b,222,k,31¡,NB,D,NBD,Acute stress,282.4586407,1117139.761,3955.056068,11.07275629,9.91E-06,NA,1.11712,1.0953,0.063172072,0.08358804,0.020415968,0.000130828,0.002701156,7.48E-08,9.80E-07,0.00029593,0.000223651,5.65E-08,Acute 31¡,4.094248188,0.071854628,5.452579365,3.955056068,0.02182,0.028413,0.006517
"Friday, February 28, 2020",e,11,b,28¡,B,C,BC,Acute stress,793.590389,2137158.652,2693.024867,15.32846906,7.17E-06,NA,1.11908,1.10774,0.106341033,0.128905221,0.022564188,0.000248002,0.004306625,6.03E-08,5.18E-07,0.000162433,0.000134,4.98E-08,June ambient,5.712823391,0.114620123,0.428323413,2.693024867,0.01134,0.030373,0.018957
